City,Country,Rank,Rent Index,Cost of Living & Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Estimated Beer Price (€),Beer Affordability Score
Zurich, Switzerland,1,70.6,97.1,115.4,121,164.4,2,18.27
Geneva, Switzerland,2,65.1,93.6,114.3,121.8,158.5,5,17.61
Lausanne, Switzerland,4,55,86.3,108.9,116.2,163.7,5,18.19
Basel, Switzerland,3,49.6,84.4,110.4,114.9,183.7,5,20.41
Lugano, Switzerland,5,47,81.9,107.3,125.3,153.6,1.8,17.07
Bern, Switzerland,6,46.8,81.8,107.3,110.2,174.4,5,19.38
London, United Kingdom,9,70.1,79.7,68.9,89.7,117.5,5,17.28
Reykjavik, Iceland,7,50.1,77.1,105.2,109.3,109,5,11.47
Amsterdam, Netherlands,14,60,72.5,71.5,91.8,129.9,5,23.62
Luxembourg, Luxembourg,16,54.8,69.1,78.5,90.7,147.2,2,24.53
Dublin, Ireland,23,59.7,69.1,71.7,89.2,114.6,2,17.63
Copenhagen, Denmark,10,46.1,68,78.3,99.9,136.9,2,18.25
Oslo, Norway,8,39.3,67.5,90.7,99.1,110.8,2,11.66
Oxford, United Kingdom,25,47.9,63.6,68.0,88.8,113.5,2,16.69
Haarlem, Netherlands,17,43.5,63.5,70.9,92.9,118.5,2,21.55
Galway, Ireland,47,51.9,63,71.2,79.7,93.2,3.5,14.34
Paris, France,20,43.5,62.9,77.9,75.2,118,3.5,16.86
Utrecht, Netherlands,22,44.2,62.5,68.8,79.6,143.7,3.5,26.13
Munich, Germany,26,45.4,62.4,63.5,81.9,142.7,2.5,31.71
Stavanger, Norway,13,37.1,62.4,84.3,89.5,134.9,2.5,14.2
Cambridge, United Kingdom,34,45.5,61.3,66.4,82.8,124,2.5,18.24
Guildford, United Kingdom,27,42.4,60.7,71.5,76.7,120,2.5,17.65
Brighton, United Kingdom,30,42.9,60.4,67.7,79.9,111.1,7.5,16.34
Trondheim, Norway,12,29.8,60.3,88.0,89.8,127.6,7.5,13.43
Bergen, Norway,11,29,60.3,84.5,98.3,126.9,7.5,13.36
Cork, Ireland,46,45.3,60.2,74.5,77.4,116.5,7.5,17.92
Rotterdam, Netherlands,29,41.1,59.7,68.2,82.2,126.3,4.5,22.96
Stockholm, Sweden,19,36.1,59.7,72.8,82,116.9,4.5,15.59
The Hague (Den Haag), Netherlands,44,43.8,59.6,67.6,79.3,147.5,8,26.82
Milan, Italy,42,41.4,58.9,70.3,78.2,83.5,8,15.18
Delft, Netherlands,32,39.5,58.7,70.7,87.1,116.6,8,21.2
Aarhus, Denmark,18,33.2,58.5,71.1,95.6,148.4,7,19.79
Bristol, United Kingdom,58,42.2,58.2,65.8,79.9,113.8,7,16.74
Reading, United Kingdom,55,40.4,57.5,62.5,83.7,124.1,7,18.25
Edinburgh, United Kingdom,43,37.9,57.3,65.6,84.2,118.6,7,17.44
Frankfurt, Germany,33,36.1,57.1,66.8,75.7,156.6,7,34.8
Manchester, United Kingdom,64,40.1,56.7,67.8,75.3,114.1,7,16.78
Heidelberg, Germany,40,34.4,56,68.5,68.9,114.9,7,25.53
Limerick, Ireland,87,41.5,55.9,72.0,70.4,119,7,18.31
Eindhoven, Netherlands,50,36,55.8,65.5,79.1,139.8,7,25.42
Aalborg, Denmark,15,24.7,55.8,79.2,93.1,151.8,7,20.24
Espoo, Finland,24,30.3,55.8,75.6,85.2,127.3,4.5,15.91
Leiden, Netherlands,57,36.3,55.6,67.1,72.8,157.4,4.5,28.62
Brussels, Belgium,38,33.1,55.5,72.0,89.6,128,4.5,25.6
Dusseldorf, Germany,37,32.5,55.4,65.5,75.3,143.6,4.5,31.91
Berlin, Germany,65,36.2,54.9,63.0,68.1,126.1,4.5,28.02
Southampton, United Kingdom,61,34.6,54.4,64.0,82.8,119.1,4.5,17.51
Helsinki, Finland,31,29.4,54.3,70.6,82.2,123.5,4.5,15.44
Hamburg, Germany,48,32.4,54.2,63.8,75.1,142.3,4.5,31.62
Vienna, Austria,35,29.6,54.2,74.0,75,133.5,4.5,26.7
Nice, France,39,30.2,54.1,78.4,75.7,96.5,4.5,13.79
Bournemouth, United Kingdom,92,36.2,53.3,58.0,73.6,116.4,4.5,17.12
Odense, Denmark,21,23.2,53.2,74.3,103,163.3,4.5,21.77
Milton Keynes, United Kingdom,88,35.6,53.2,59.4,70.9,123.4,4.5,18.15
Stuttgart, Germany,53,30.1,53,66.6,72.4,144.2,4.5,32.04
Sliema, Malta,110,39.8,52.8,62.6,71.9,71.4,4.5,12.98
Glasgow, United Kingdom,85,33.8,52.7,64.3,72.2,124.7,4.5,18.34
Darmstadt, Germany,52,28.8,52.5,68.0,71.4,137.1,4.5,30.47
Cologne, Germany,54,29.1,52.5,66.5,71.7,130.9,4.5,29.09
Gent, Belgium,41,26.7,52.5,70.7,89.9,123.8,4.5,24.76
Florence, Italy,68,31,52.3,73.1,75.3,75.9,4.5,13.8
York, United Kingdom,90,32.7,51.8,61.8,81.6,124.3,4.5,18.28
Leeds, United Kingdom,80,31.1,51.8,66.7,71.2,116.4,4.5,17.12
Birmingham, United Kingdom,77,30.8,51.7,64.7,69.7,124.5,4.5,18.31
Wiesbaden, Germany,49,26.3,51.5,65.9,76.9,131.2,4.5,29.16
Strasbourg, France,28,22.8,51.5,87.9,68.8,112.1,4.5,16.01
Cardiff, United Kingdom,91,32.1,51.4,66.2,72.6,119.4,4.5,17.56
Bonn, Germany,69,28.5,51.1,69.4,63.7,151.8,4.5,33.73
Rome, Italy,109,34.9,50.7,64.9,63.5,84.3,4.5,15.33
Antwerp, Belgium,51,24.3,50.5,67.6,89.4,119.1,2.5,23.82
Groningen, Netherlands,76,28,50.5,67.1,75,126.7,2.5,23.04
Marseille, France,36,21.4,50.5,89.3,70.6,100.4,2.5,14.34
Augsburg, Germany,59,25.1,50.4,66.6,72.3,137,9.5,30.44
Malmo, Sweden,66,26.4,50.4,72.2,72.8,129.5,6.5,17.27
Karlsruhe, Germany,74,27.3,50.2,67.8,65.3,127.3,6.5,28.29
Lyon, France,45,22.8,50.2,79.4,66.2,126.1,6.5,18.01
Newcastle upon Tyne, United Kingdom,86,27.9,49.9,62.3,77.4,148.3,6.5,21.81
Bologna, Italy,81,27.1,49.9,71.0,72.6,84.4,5.5,15.35
Coventry, United Kingdom,105,30.6,49.5,66.1,68.9,133.9,5.5,19.69
Madrid, Spain,118,36.2,49.4,56.1,63.4,104.1,5.5,26.02
Gothenburg, Sweden,75,25.4,49.4,68.0,76.5,154.7,5.5,20.63
Bordeaux, France,62,23.2,49.2,75.4,71.3,126.2,5.5,18.03
Barcelona, Spain,123,36,48.9,56.0,63.8,95.1,5.5,23.78
Liverpool, United Kingdom,98,27.6,48.9,60.8,75.6,127.2,5.5,18.71
Valletta, Malta,119,35.2,48.9,56.0,67.9,83.9,5.5,15.25
Nuremberg, Germany,72,23.5,48.7,64.4,70.4,147.5,5.5,32.78
Graz, Austria,56,20.3,48.5,72.7,71.6,124.5,5.5,24.9
Brescia, Italy,70,22.7,48.5,71.3,77.3,80.7,5.5,14.67
Belfast, United Kingdom,99,26.7,48.4,67.5,74.6,113.4,5.5,16.68
Uppsala, Sweden,79,22.6,48.1,70.6,70.4,128.4,5.5,17.12
Mannheim, Germany,82,22.8,48,67.5,60.2,179.8,5.5,39.96
Nottingham, United Kingdom,104,26.3,47.9,64.8,66.4,129.2,5.5,19
Bremen, Germany,83,22.3,47.8,67.3,66.5,139.3,5.5,30.96
Leuven, Belgium,113,29.7,47.8,59.5,69.6,138.2,5.5,27.64
Dortmund, Germany,63,19.9,47.7,67.2,65.6,148.3,5.5,32.96
