Source,Target,Weight
Tirana,Coimbra,9.900990099009762
Tirana,Ostrava,9.900990099009762
Tirana,Granada,4.975124378109382
Vienna,Hamburg,1000.0
Vienna,Helsinki,9.900990099010459
Vienna,Nice,9.900990099009762
Graz,Brescia,1000.0
Graz,Belfast,9.900990099009762
Graz,Nuremberg,4.975124378109382
Villach,Grenoble,4.975124378109558
Villach,Aachen,1.663893510815304
Villach,Tallinn,1.663893510815304
Minsk,Perm,2.4937655860349217
Minsk,Kiev (Kyiv),1.2484394506866405
Minsk,Stara Zagora,0.908265213442324
Brussels,Dusseldorf,9.900990099009762
Brussels,Leiden,9.900990099009762
Brussels,Aalborg,3.322259136212656
Gent,Cologne,1000.0
Gent,Darmstadt,1000.0
Gent,Florence,4.975124378109382
Antwerp,Groningen,1000.0
Antwerp,Marseille,1000.0
Antwerp,Augsburg,9.900990099009762
Leuven,Bremen,1000.0
Leuven,Dortmund,9.900990099010459
Leuven,Hanover,9.900990099010459
Sarajevo,Yekaterinburg,1.4265335235378045
Sarajevo,Burgas,1.10987791342952
Sarajevo,Timisoara,0.9990009990009991
Sofia,Lodz,1.996007984031936
Sofia,Poznan,1.663893510815304
Sofia,Pecs,1.1098779134295245
Varna,Podgorica,9.900990099009762
Varna,Saint Petersburg,4.97512437810947
Varna,Constanta,3.3222591362126166
Burgas,Timisoara,9.90099009901011
Burgas,Tyumen,9.90099009901011
Burgas,Iasi,1.996007984031936
Plovdiv,Iasi,4.97512437810947
Plovdiv,Chisinau,3.3222591362126166
Plovdiv,Craiova,1.996007984031936
Stara Zagora,Dnipro,9.90099009901011
Stara Zagora,Lviv,1.4265335235378045
Stara Zagora,Minsk,0.908265213442324
Split,Naples,1000.0
Split,Ljubljana,9.900990099009762
Split,Cagliari,2.4937655860349217
Zagreb,Tartu,3.322259136212656
Zagreb,Kosice,1.996007984031936
Zagreb,Vilnius,1.996007984031936
Rijeka,Gdansk,1000.0
Rijeka,Budapest,9.900990099010459
Rijeka,Wroclaw,9.900990099009762
Prague,Essen,1000.0
Prague,Treviso,1000.0
Prague,Lisbon,9.900990099010459
Brno,Santa Cruz de Tenerife,1000.0
Brno,Remagen,3.322259136212656
Brno,Kosice,3.3222591362125775
Plzen,Braga,4.975124378109382
Plzen,Kaunas,4.975124378109382
