Id,Label,City,Country,Rank,Rent Index,Cost of Living & Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Estimated Beer Price (€)
Tirana,Tirana,Tirana, Albania,156,18.3,35.6,49.6,49.7,45.6,2.0
Vienna,Vienna,Vienna, Austria,35,29.6,54.2,74.0,75.0,133.5,5.0
Graz,Graz,Graz, Austria,56,20.3,48.5,72.7,71.6,124.5,5.0
Villach,Villach,Villach, Austria,100,20.1,45.4,62.4,66.7,119.3,5.0
Minsk,Minsk,Minsk, Belarus,207,11.8,23.0,31.5,35.3,70.6,1.8
Brussels,Brussels,Brussels, Belgium,38,33.1,55.5,72.0,89.6,128.0,5.0
Gent,Gent,Gent, Belgium,41,26.7,52.5,70.7,89.9,123.8,5.0
Antwerp,Antwerp,Antwerp, Belgium,51,24.3,50.5,67.6,89.4,119.1,5.0
Leuven,Leuven,Leuven, Belgium,113,29.7,47.8,59.5,69.6,138.2,5.0
Sarajevo,Sarajevo,Sarajevo, Bosnia And Herzegovina,180,12.0,29.1,42.7,37.0,66.4,2.0
Sofia,Sofia,Sofia, Bulgaria,170,18.0,33.6,45.2,47.1,96.1,2.0
Varna,Varna,Varna, Bulgaria,172,13.0,31.0,46.9,45.6,72.5,2.0
Burgas,Burgas,Burgas, Bulgaria,184,12.9,28.2,42.2,43.0,72.0,2.0
Plovdiv,Plovdiv,Plovdiv, Bulgaria,187,11.8,27.5,42.0,39.1,79.3,2.0
Stara Zagora,Stara Zagora,Stara Zagora, Bulgaria,205,7.3,21.9,34.8,33.1,105.6,2.0
Split,Split,Split, Croatia,126,25.7,43.9,53.1,66.3,74.2,3.5
Zagreb,Zagreb,Zagreb, Croatia,137,20.2,38.8,51.9,54.7,98.4,3.5
Rijeka,Rijeka,Rijeka, Croatia,138,16.7,37.2,49.4,56.9,79.4,3.5
Prague,Prague,Prague, Czech Republic,121,32.0,47.3,52.9,50.5,94.2,2.5
Brno,Brno,Brno, Czech Republic,142,22.6,39.6,50.7,43.6,93.4,2.5
Plzen,Plzen,Plzen, Czech Republic,151,15.2,35.0,50.9,42.6,114.7,2.5
Ostrava,Ostrava,Ostrava, Czech Republic,153,16.8,35.5,50.7,43.6,92.6,2.5
Copenhagen,Copenhagen,Copenhagen, Denmark,10,46.1,68.0,78.3,99.9,136.9,7.5
Aalborg,Aalborg,Aalborg, Denmark,15,24.7,55.8,79.2,93.1,151.8,7.5
Aarhus,Aarhus,Aarhus, Denmark,18,33.2,58.5,71.1,95.6,148.4,7.5
Odense,Odense,Odense, Denmark,21,23.2,53.2,74.3,103.0,163.3,7.5
Tallinn,Tallinn,Tallinn, Estonia,106,20.0,44.8,58.8,70.8,88.0,4.5
Tartu,Tartu,Tartu, Estonia,130,15.5,38.5,50.0,66.6,96.0,4.5
Espoo,Espoo,Espoo, Finland,24,30.3,55.8,75.6,85.2,127.3,8.0
Helsinki,Helsinki,Helsinki, Finland,31,29.4,54.3,70.6,82.2,123.5,8.0
Turku,Turku,Turku, Finland,78,20.5,47.1,66.6,81.3,125.1,8.0
Paris,Paris,Paris, France,20,43.5,62.9,77.9,75.2,118.0,7.0
Strasbourg,Strasbourg,Strasbourg, France,28,22.8,51.5,87.9,68.8,112.1,7.0
