web_scraper_order,web_scraper_start_url,city,cost_of_living_index,rank,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index
"1770902482-1","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Zurich, Switzerland","118.5","1","70.6","97.1","115.4","121.0","164.4"
"1770902482-2","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Geneva, Switzerland","116.5","2","65.1","93.6","114.3","121.8","158.5"
"1770902482-3","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Basel, Switzerland","112.4","3","49.6","84.4","110.4","114.9","183.7"
"1770902482-4","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Lausanne, Switzerland","111.5","4","55.0","86.3","108.9","116.2","163.7"
"1770902482-5","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Lugano, Switzerland","110.1","5","47.0","81.9","107.3","125.3","153.6"
"1770902482-6","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Bern, Switzerland","110.0","6","46.8","81.8","107.3","110.2","174.4"
"1770902482-7","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Reykjavik, Iceland","98.9","7","50.1","77.1","105.2","109.3","109.0"
"1770902482-8","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Oslo, Norway","90.2","8","39.3","67.5","90.7","99.1","110.8"
"1770902482-9","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","London, United Kingdom","87.5","9","70.1","79.7","68.9","89.7","117.5"
"1770902482-10","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Copenhagen, Denmark","85.7","10","46.1","68.0","78.3","99.9","136.9"
"1770902482-11","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Bergen, Norway","85.6","11","29.0","60.3","84.5","98.3","126.9"
"1770902482-12","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Trondheim, Norway","84.9","12","29.8","60.3","88.0","89.8","127.6"
"1770902482-13","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Stavanger, Norway","82.7","13","37.1","62.4","84.3","89.5","134.9"
"1770902482-14","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Amsterdam, Netherlands","82.6","14","60.0","72.5","71.5","91.8","129.9"
"1770902482-15","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Aalborg, Denmark","80.9","15","24.7","55.8","79.2","93.1","151.8"
"1770902482-16","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Luxembourg, Luxembourg","80.6","16","54.8","69.1","78.5","90.7","147.2"
"1770902482-17","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Haarlem, Netherlands","79.5","17","43.5","63.5","70.9","92.9","118.5"
"1770902482-18","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Aarhus, Denmark","78.9","18","33.2","58.5","71.1","95.6","148.4"
"1770902482-19","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Stockholm, Sweden","78.6","19","36.1","59.7","72.8","82.0","116.9"
"1770902482-20","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Paris, France","78.6","20","43.5","62.9","77.9","75.2","118.0"
"1770902482-21","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Odense, Denmark","77.3","21","23.2","53.2","74.3","103.0","163.3"
"1770902482-22","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Utrecht, Netherlands","77.3","22","44.2","62.5","68.8","79.6","143.7"
"1770902482-23","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Dublin, Ireland","76.7","23","59.7","69.1","71.7","89.2","114.6"
"1770902482-24","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Espoo, Finland","76.4","24","30.3","55.8","75.6","85.2","127.3"
"1770902482-25","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Oxford, United Kingdom","76.2","25","47.9","63.6","68.0","88.8","113.5"
"1770902482-26","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Munich, Germany","76.1","26","45.4","62.4","63.5","81.9","142.7"
"1770902482-27","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Guildford, United Kingdom","75.4","27","42.4","60.7","71.5","76.7","120.0"
"1770902482-28","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Strasbourg, France","74.7","28","22.8","51.5","87.9","68.8","112.1"
"1770902482-29","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Rotterdam, Netherlands","74.6","29","41.1","59.7","68.2","82.2","126.3"
"1770902482-30","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Brighton, United Kingdom","74.5","30","42.9","60.4","67.7","79.9","111.1"
"1770902482-31","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Helsinki, Finland","74.3","31","29.4","54.3","70.6","82.2","123.5"
"1770902482-32","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Delft, Netherlands","74.2","32","39.5","58.7","70.7","87.1","116.6"
"1770902482-33","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Frankfurt, Germany","74.0","33","36.1","57.1","66.8","75.7","156.6"
"1770902482-34","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Cambridge, United Kingdom","73.9","34","45.5","61.3","66.4","82.8","124.0"
"1770902482-35","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Vienna, Austria","73.9","35","29.6","54.2","74.0","75.0","133.5"
"1770902482-36","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Marseille, France","73.9","36","21.4","50.5","89.3","70.6","100.4"
"1770902482-37","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Dusseldorf, Germany","73.9","37","32.5","55.4","65.5","75.3","143.6"
"1770902482-38","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Brussels, Belgium","73.5","38","33.1","55.5","72.0","89.6","128.0"
"1770902482-39","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Nice, France","73.4","39","30.2","54.1","78.4","75.7","96.5"
"1770902482-40","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Heidelberg, Germany","73.4","40","34.4","56.0","68.5","68.9","114.9"
